Internal ID,id,title,description,price,sale_price,link,image_link,Name
10345,31562211885141,Pink Pearl Drop Earrings,"Pink freshwater cultured pearl drops are set with yellow gold. A fresh alternative to classic white, lustrous pink pearls are prized for their ability to flatter every complexion. Pink freshwater cultured pearls. 14-karat yellow gold. Pierced only. 7/8""L. ",450.00,,https://gumps.com/products/pink-pearl-drop-earrings,https://gumps-netsuites-extendfiles.s3.amazonaws.com/extend/90040ee0-8630-11ec-b260-a772c0afad4d/121925_2.jpg,121925 PE
5300,31268921573461,Gold Oval Small Necklace Shortener,"Transform a long, continuous rope into a multi-strand choker, or combine two necklaces into a “twist.” 14-karat yellow gold.",395.00,,https://gumps.com/products/shortener-14kt-yg-small-oval-with-safety-eight,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123091_1.jpg,123091
5,37790286217410,Shopify display name overrides the Display name,We find here a singular example of curated selection offered by Gump's expert merchants.  It can not be said that there is an ,9.00,1.00,https://gumps.com/products/test-inventoried,https://gumps-netsuites-extendfiles.s3.amazonaws.com/extend/c3bfea50-7f92-11ec-9ac4-3356574c1512/Screenshot%20from%202022-01-27%2008-57-25.png,123456
11232,31859224772693,Carnelian Bead Earrings,"Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless. Our signature collection is made in-house — we develop the design, carefully select each gemstone and oversee the production from start to finish. Featuring only the finest materials, each piece is a statement of timeless elegance. Carnelian, 10mm. 14-karat yellow gold. Pierced only.",275.00,,https://gumps.com/products/earrings-14ktyg-carnelian-bead,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123572_1.jpg,123572
12070,31996100640853,Long Apple Green Jadeite Necklace,"Throughout history, jade has been more highly prized in Asia than any other gemstone. Once considered more precious than gold, jade is believed to possess spiritual and mystical properties. Gump's Signature jewelry features only the finest materials and each piece is a statement of elegance. This necklace is strung by hand on fine silk thread. Apple green jadeite beads, 7.5mm. Diamonds, 0.02ctw. 14-karat yellow gold. 30""L. ",9500.00,,https://gumps.com/products/gump-x27-s-signature-9mm-apple-green-necklace-14ktyg-diamond-ball-clasp,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123582_1.jpg,123582
10807,31834266304597,12mm Black Jade & Gold Necklace,"Prized since ancient times, and refreshingly modern today, black nephrite jade beads are hand-knotted on fine silk thread to create this timeless necklace. Finished with an a yellow gold and diamond clasp. Black nephrite jade, 12mm. Diamonds, 0.06ctw. 18-karat yellow gold. 18""L. ",1950.00,,https://gumps.com/products/necklace-18ktyg-black-jade-12mm-gold-and-dia-clasp-18in,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123906_1.jpg,123906
7505,31698591187029,Black Jade Pi & Gold Shou Pendant,"This striking pendant is set with a black nephrite jade pi with gold shou center. The versatile piece lends an air of modern sophistication to any outfit. Black nephrite jade, 30mm diameter. 14-karat yellow gold. Overall: 1 1/2""L. Chain sold separately.",750.00,,https://gumps.com/products/black-jade-pi-pendant,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123912_1.jpg,123912
12175,32008491794517,10mm Green Nephrite Jade Necklace,"Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless. Once considered more precious than gold, jade has been more highly prized in Asia than any other gemstone. Treasured for thousands of years, it represents harmony, balance and protection, and is thought to bring good luck to the wearer. Green nephrite jade, 10mm. Diamonds. 18-karat yellow gold clasp. 17""L.",1450.00,,https://gumps.com/products/gump-x27-s-signature-10mm-green-nephrite-jade-necklace-18ktyg-clasp-with-diamonds,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123943_1.jpg,123943
8806,31682229305429,Black Jade Bead Earrings,"These yellow gold earrings are set with black 10mm nephrite jade, a stone prized since ancient times that are refreshingly modern today. Black nephrite jade, 10mm. 14-karat yellow gold.  Pierced only.",350.00,,https://gumps.com/products/14kyg-black-jade-bead-earrings,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123956_1.jpg,123956
11617,31891507740757,10mm Green Nephrite Jade Bead Earrings,"These yellow gold earrings are embellished with green nephrite jade, a stone prized since ancient times that are refreshingly modern today. Green nephrite jade, 10mm. 14-karat yellow gold. Pierced only. ",350.00,,https://gumps.com/products/earrings-14ktyg-green-jade-beads-10mm,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123966_1.jpg,123966
10771,31830886613077,Baroque Blue Akoya Pearl Bracelet,"Baroque silvery-blue Akoya cultured pearls set with yellow gold. A mainstay in Gump's fine jewelry assortment for decades, our pearls are selected for quality and luster. Blue Akoya baroque cultured pearls, 7.5mm. 14-karat yellow gold. 7 1/2""L. ",1150.00,,https://gumps.com/products/baroque-blue-akoya-pearl-bracelet,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123972_1.jpg,123972
10913,31837082124373,Baroque Blue Akoya Pearl Earrings,"Blue Akoya cultured pearls set with yellow gold. A timeless classic, pearl earrings have been a mainstay in Gump's fine jewelry assortment for decades. Each pearl is carefully selected for quality, color and shape. Blue baroque Akoya cultured pearls, 8mm. 14-karat yellow gold. Pierced only.",750.00,,https://gumps.com/products/earrings-14ktyg-baroque-blue-akoya,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/123973_1.jpg,123973
8686,31736897994837,Yellow Jade Cabochon Earrings,"Since 1861, Gump's has been a destination for jewelry that is distinctive and timeless. Once considered more precious than gold, jade has been more highly prized in Asia than any other gemstone. In the days of imperial China, the color yellow was reserved exclusively for the emperor and symbolized power and prosperity. Yellow jade, 16 x 12mm. 14-karat yellow gold. Pierced only. 3/4""L x 1/2""W.",1950.00,,https://gumps.com/products/yellow-jade-merry-widow-earrings,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124084_1.jpg,124084
11234,31859224838229,10mm Button Pearl Stud Earrings,"<p>Simple statements of elegance, pearls have been a mainstay in Gump's fine jewelry assortment for decades. Revered for their alluring luster and classic beauty, they are widely recognized as symbols of purity, integrity and wisdom gained through experience. To create these earrings, each pearl is carefully selected for quality, color and shape.</p> <ul> <li>Freshwater cultured button pearls, 10mm.</li> <li>14-karat yellow gold.</li> <li>Pierced only.</li> </ul>",495.00,,https://gumps.com/products/earrings-14ktyg-10mm-white-fwp-button,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124108_1.jpg,124108
10344,31682229141589,Lapis Bead & Gold Earrings,"Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless. Our signature collection is made in-house — we develop the design, carefully select each gemstone and oversee the production from start to finish. Featuring only the finest materials, each piece is a statement of timeless elegance.  Blue lapis, 10mm. 14-karat yellow gold; pierced only  ",300.00,,https://gumps.com/products/14kt-yg-lapis-bead-earrings,https://gumps-netsuites-extendfiles.s3.amazonaws.com/extend/535ca960-d61d-11ec-b260-a772c0afad4d/124276_1.jpg,124276 PE
10344,42025019736258,Lapis Bead & Gold Earrings,"Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless. Our signature collection is made in-house — we develop the design, carefully select each gemstone and oversee the production from start to finish. Featuring only the finest materials, each piece is a statement of timeless elegance.  Blue lapis, 10mm. 14-karat yellow gold; pierced only  ",300.00,,https://gumps.com/products/14kt-yg-lapis-bead-earrings,https://gumps-netsuites-extendfiles.s3.amazonaws.com/extend/535ca960-d61d-11ec-b260-a772c0afad4d/124276_1.jpg,124276 PE
3678,31682239397973,Brushed Gold Dome Earrings Clipped,"<p>Classic dome earrings with hand-etched texture. Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless.</p> <ul> <li>18-karat yellow gold.</li> <li>Pierced or clip.</li> <li>3/4"" diam.</li> </ul> ",2000.00,1295.00,https://gumps.com/products/earrings-18kt-yg-brushed-dome,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124312-1.jpg,124312 : 124312 CI
3679,32266365304917,Brushed Gold Dome Earrings Pierced,"<p>Classic dome earrings with hand-etched texture. Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless.</p> <ul> <li>18-karat yellow gold.</li> <li>Pierced or clip.</li> <li>3/4"" diam.</li> </ul> ",2000.00,1295.00,https://gumps.com/products/Brushed-Gold-Dome-Earrings-Pierced,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124312-1.jpg,124312 : 124312 PE
6414,31554009759829,Large Gold Necklace Shortener,"A perfect addition to any jewelry wardrobe. Our necklace shortener transforms a long, continuous rope into a multi-strand choker, or combine two necklaces into a “twist.” 14-karat yellow gold. 1""L x 3/4""W.",450.00,,https://gumps.com/products/14kyg-large-necklace-shortener-plain,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124345_1.jpg,124345
8685,31736897962069,Apple Green Jade Cabochon Earrings,"Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless. We develop the design, carefully select each gemstone and oversee the production from start to finish. Treasured for thousands of years, jade represents harmony, balance and protection, and is thought to bring good luck to the wearer. Apple green jadeite, 16 x 12mm. 14-karat yellow gold. Pierced or clip.",2800.00,,https://gumps.com/products/apple-green-jade-merry-widow-earrings,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124364_1.jpg,124364
7506,31740777791573,Green Nephrite Jade Pi & Gold Shou Pendant,"This striking pendant is set with a green nephrite jade pi with gold shou center. The versatile piece lends an air of modern sophistication to any outfit. Green nephrite jade, 30mm diameter. 14-karat yellow gold. Overall:  1-1/2""L. Chain sold separately.  ",750.00,,https://gumps.com/products/green-jade-pi-pendant,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124473_1.jpg,124473
10808,31834448920661,12mm Blue Lace Agate & Gold Necklace,"<p>A stunning blue lace agate necklace with a diamond-embellished yellow gold clasp. Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless. To ensure each piece is created to our exacting standards, the expert in-house jewelry team at Gump's oversees every step of the production process. The result is a statement of pure elegance.</p> <ul> <li>Blue lace agate, 12mm.</li> <li>Diamonds, 0.06ctw.</li> <li>18-karat yellow gold.</li> <li>17""L.</li> </ul> ",1295.00,,https://gumps.com/products/necklace-18ktyg-blue-lace-agate-clasp-with-diamonds-17-5in,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124747_1.jpg,124747
11231,31859224739925,Amethyst Bead Earrings,"Since 1861, Gump's has been a destination for jewelry that is distinctive, extraordinary and timeless. Our signature collection is made in-house — we develop the design, carefully select each gemstone and oversee the production from start to finish. Featuring only the finest materials, each piece is a statement of timeless elegance. Amethyst, 10mm. 14-karat yellow gold. Pierced only.",275.00,,https://gumps.com/products/earrings-14ktyg-amethyst-bead,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/124812_1.jpg,124812
10767,31830886383701,Baroque Blue Akoya Pearl Rope Necklace,"Baroque silvery-blue Akoya cultured pearls hand-knotted on fine silk thread create this timeless necklace. A mainstay in Gump's fine jewelry assortment for decades, our pearls are individually selected for quality, color and shape. Baroque Akoya cultured pearls, 7.5mm. 36""L continuous rope.",2500.00,,https://gumps.com/products/necklace-blue-akoya-pearl-rope-36-in,https://gumps-netsuites-extendfiles.s3.us-east-2.amazonaws.com/125728_1.jpg,125728
